20241211 230100;22029;22030;22023.25;22026.25;30
20241211 230200;22025.25;22025.25;22018.25;22019;15
20241211 230300;22016.75;22026.75;22016.75;22026.5;17
20241211 230400;22026.5;22028.5;22026.5;22028.25;8
20241211 230500;22026.25;22028.75;22026.25;22028.75;4
20241211 230600;22030;22032.25;22024;22024;15
20241211 230700;22024.25;22024.75;22023;22023;8
20241211 230800;22023.75;22027;22023.75;22027;7
20241211 230900;22025.5;22025.5;22024.5;22024.5;7
20241211 231000;22025.25;22025.5;22025.25;22025.5;5
20241211 231100;22025;22025;22025;22025;2
20241211 231200;22026.75;22028.5;22026.75;22028.5;4
20241211 231300;22028;22030.5;22028;22030.5;4
20241211 231400;22032;22033;22032;22033;30
20241211 231500;22033.5;22034.25;22033.5;22034.25;3
20241211 231600;22034.25;22034.25;22034.25;22034.25;1
20241211 231700;22034.75;22035;22032.25;22032.25;8
20241211 231800;22033.5;22033.5;22031;22031.75;11
20241211 231900;22030;22033.75;22030;22033.75;6
20241211 232200;22030.75;22030.75;22025;22027.5;21
20241211 232300;22026.25;22026.25;22026.25;22026.25;1
20241211 232400;22027;22027.5;22026.75;22026.75;7
20241211 232500;22026.25;22026.25;22024.75;22024.75;7
20241211 232600;22025;22025;22024.75;22025;5
20241211 232700;22024.5;22024.5;22021.5;22022.75;6
20241211 232800;22022.75;22022.75;22022.25;22022.25;3
20241211 232900;22020.25;22022.25;22020.25;22022.25;2
20241211 233000;22024.75;22025;22023.5;22023.5;5
20241211 233200;22028.25;22029;22028.25;22029;4
20241211 233400;22027.5;22027.5;22027.5;22027.5;1
20241211 233500;22029;22029;22029;22029;1
20241211 233600;22030.5;22030.5;22027.75;22027.75;5
20241211 233700;22027;22027;22026.25;22026.25;4
20241211 233800;22027;22027;22025.5;22025.5;2
20241211 233900;22025.5;22025.5;22025;22025;3
20241211 234000;22025.25;22025.25;22022.75;22022.75;10
20241211 234100;22022.5;22022.75;22022;22022.75;7
20241211 234300;22023;22023;22022.75;22022.75;2
20241211 234400;22022.5;22022.5;22021.75;22021.75;3
20241211 234500;22023.75;22023.75;22021.5;22021.5;6
20241211 234600;22024;22024.25;22024;22024.25;5
20241211 234800;22024.75;22024.75;22024.75;22024.75;1
20241211 234900;22026.5;22026.5;22026.5;22026.5;2
20241211 235000;22026.25;22028.25;22026.25;22028.25;3
20241211 235200;22030;22030;22028.75;22028.75;3
20241211 235300;22029;22030.25;22028;22028;7
20241211 235400;22028;22028;22028;22028;1
20241211 235500;22029.5;22029.75;22028.75;22028.75;5
20241211 235600;22029;22029;22027;22027;5
20241211 235700;22027.75;22027.75;22027;22027;2
20241211 235800;22025.5;22026.75;22025.5;22026.5;3
20241212 000000;22027.75;22028;22027.5;22027.5;4
20241212 000100;22027;22027;22024.25;22024.25;4
20241212 000200;22029.25;22029.25;22028.75;22028.75;3
20241212 000500;22027;22027;22027;22027;1
