20220605 220100;12580;12609.5;12580;12601.5;23
20220605 220200;12605;12606.5;12602.75;12602.75;6
20220605 220300;12600.25;12602.5;12600.25;12602.5;2
20220605 220400;12607.25;12615.5;12607.25;12612.75;8
20220605 220500;12610;12613.75;12609.25;12610.75;12
20220605 220600;12613;12613.25;12613;12613.25;3
20220605 220700;12603.5;12604;12602.75;12604;3
20220605 220800;12605;12605;12605;12605;5
20220605 221000;12600.25;12600.75;12600;12600.75;3
20220605 221100;12600;12600;12594.75;12594.75;4
20220605 221200;12592.5;12594.5;12590.75;12590.75;6
20220605 221300;12589.25;12589.5;12586.75;12589.5;6
20220605 221400;12587;12587;12580.75;12581.5;4
20220605 221500;12579.75;12579.75;12579.75;12579.75;2
20220605 221600;12578;12578;12578;12578;1
20220605 221700;12573;12573;12567.75;12571.25;13
20220605 221800;12571.25;12571.25;12570;12570;6
20220605 221900;12571;12581.5;12571;12577.75;7
20220605 222000;12581.75;12582.75;12572;12572;7
20220605 222400;12575.75;12575.75;12573.75;12573.75;2
20220605 222500;12573.75;12573.75;12570.75;12570.75;3
20220605 222600;12579;12581;12579;12581;7
20220605 222700;12582.75;12582.75;12580.25;12580.25;2
20220605 222900;12578.5;12578.5;12571.5;12571.5;4
20220605 223000;12566.5;12566.5;12564.5;12564.5;2
20220605 223100;12560;12560;12560;12560;1
20220605 223200;12560.25;12560.25;12560.25;12560.25;10
20220605 223500;12563.75;12563.75;12563.75;12563.75;1
20220605 223600;12565;12565;12565;12565;1
20220605 223700;12567.75;12567.75;12567.75;12567.75;1
20220605 223800;12570;12574.25;12570;12574;6
20220605 223900;12575;12582.5;12575;12580;6
20220605 224000;12581.5;12583.75;12581.5;12583.75;4
20220605 224100;12583.75;12586.75;12583.75;12586.75;5
20220605 224200;12584;12584;12581.25;12581.25;10
20220605 224700;12584.75;12584.75;12584.75;12584.75;1
20220605 225200;12581.75;12581.75;12578;12578;7
20220605 225600;12580.25;12580.25;12580;12580;3
20220605 225900;12577.5;12577.5;12574.5;12574.5;12
20220605 230400;12576.5;12576.5;12576.5;12576.5;1
20220605 230500;12577;12577;12577;12577;1
20220605 230700;12579.5;12579.5;12579.5;12579.5;2
20220605 231100;12578.75;12579.5;12578.75;12579.5;5
20220605 231200;12581.5;12581.5;12581.5;12581.5;1
20220605 231700;12580;12580;12580;12580;5
20220605 231800;12577.75;12577.75;12577.75;12577.75;1
20220605 232000;12577;12579.25;12576;12579.25;10
20220605 232500;12581.75;12581.75;12581.75;12581.75;1
20220605 232700;12582.5;12582.5;12582.5;12582.5;1
20220605 233200;12586.25;12586.25;12586.25;12586.25;1
20220605 233300;12584.25;12584.25;12584.25;12584.25;1
20220605 233500;12590.5;12590.5;12587.75;12587.75;4
20220605 233600;12584;12584;12584;12584;1
20220605 233700;12575.5;12575.5;12574.25;12574.25;6
20220605 234300;12574.75;12587.5;12574.75;12582.75;8
20220605 234600;12584.75;12596.75;12584.75;12593.5;17
20220605 234800;12593;12593;12593;12593;1
20220605 234900;12596;12596;12596;12596;1
20220605 235100;12590;12590;12589.25;12590;5
20220605 235200;12587.25;12587.25;12584.75;12584.75;4
20220605 235300;12586.75;12586.75;12586.75;12586.75;2
20220605 235600;12583.5;12583.5;12583;12583;2
20220605 235800;12578.25;12578.25;12578.25;12578.25;1
20220606 000100;12578.5;12578.5;12565.5;12565.5;7
20220606 000200;12565.75;12568.25;12562;12562;16
20220606 000300;12570;12570;12570;12570;2
20220606 000400;12586;12586;12585;12585;2
20220606 000500;12588.5;12588.5;12585;12585;2
20220606 000600;12582.75;12583;12582.75;12583;2
20220606 000700;12586.75;12586.75;12583.25;12583.25;5
20220606 000800;12588.25;12588.25;12588.25;12588.25;1
20220606 001000;12592.75;12592.75;12592.75;12592.75;1
20220606 001100;12593.25;12597;12592.25;12597;6
20220606 001500;12594.25;12601;12594.25;12601;10
20220606 001600;12603.25;12605;12603;12603;11
20220606 001700;12592.5;12592.5;12592.5;12592.5;1
20220606 001800;12594;12594;12594;12594;1
20220606 002100;12602;12602;12597.75;12597.75;2
20220606 002300;12600.25;12600.25;12600.25;12600.25;1
20220606 002500;12602;12603.25;12602;12603.25;2
20220606 002600;12604.5;12604.5;12604;12604;2
20220606 002700;12601.25;12601.25;12601.25;12601.25;1
20220606 002800;12599.75;12600.75;12599.75;12600.75;4
20220606 002900;12600;12600;12598.5;12598.5;3
20220606 003000;12596.75;12596.75;12596.75;12596.75;1
20220606 003100;12600;12602.5;12600;12602.5;2
20220606 003200;12602.5;12602.5;12600.25;12600.25;2
20220606 003300;12602.25;12602.25;12599.75;12599.75;2
20220606 003600;12595;12597;12595;12597;3
20220606 003700;12597.25;12597.25;12597.25;12597.25;1
20220606 003900;12590;12590;12590;12590;2
20220606 004100;12592;12597.25;12592;12595;4
20220606 004500;12587.5;12587.5;12587.5;12587.5;5
20220606 004800;12600;12600;12599.75;12599.75;3
20220606 004900;12600;12601.25;12600;12601.25;4
20220606 005000;12608;12609.75;12608;12609.75;2
20220606 005100;12602.5;12604.75;12601.75;12604.75;7
20220606 005300;12604.75;12612;12604.75;12612;5
20220606 005400;12606;12607.75;12606;12607.75;4
20220606 005700;12610;12613.25;12610;12613.25;2
20220606 005800;12611.25;12611.25;12610.75;12610.75;2
20220606 005900;12609.5;12611;12609.5;12611;8
20220606 010000;12611;12611;12611;12611;1
20220606 010100;12604.25;12606.25;12604.25;12606.25;2
20220606 010200;12605.25;12605.25;12605.25;12605.25;1
20220606 010500;12607;12607;12607;12607;1
20220606 010700;12605;12605.25;12603.25;12605.25;4
20220606 010800;12610;12610;12610;12610;1
20220606 011100;12613.5;12614;12613.25;12613.25;3
20220606 011200;12618;12625.25;12618;12620;27
20220606 011300;12622.5;12622.5;12622.5;12622.5;1
20220606 011400;12617.25;12619;12617.25;12619;4
20220606 011600;12623.25;12626.75;12623.25;12626.75;10
20220606 011700;12628.5;12628.5;12628.25;12628.5;6
20220606 011900;12626;12626;12626;12626;1
20220606 012400;12622.25;12622.5;12622;12622.5;8
20220606 012600;12626;12626;12626;12626;2
20220606 012700;12625;12625;12625;12625;8
20220606 012800;12625.75;12625.75;12622;12624.25;11
20220606 013000;12620.25;12620.25;12620.25;12620.25;1
20220606 013100;12618.5;12618.5;12615.5;12615.5;5
20220606 013200;12614.75;12618;12614.75;12618;2
20220606 013300;12613.25;12613.25;12613.25;12613.25;5
20220606 013400;12607.75;12608.25;12605;12607.75;9
20220606 013500;12611;12611;12610;12610;2
20220606 013600;12612;12612;12612;12612;1
20220606 014200;12613.75;12613.75;12613.75;12613.75;1
20220606 014400;12608;12608;12608;12608;1
20220606 014800;12613.25;12613.75;12613.25;12613.75;6
20220606 015000;12616.25;12617.75;12616.25;12617.75;2
20220606 015100;12623;12624;12623;12624;2
20220606 015200;12629;12629;12627.5;12627.5;4
20220606 015300;12627.75;12637;12627;12636.5;24
20220606 015400;12632;12632;12629.5;12630.5;6
20220606 015600;12629.5;12633.25;12629.5;12633.25;5
20220606 015900;12628;12629.75;12627;12627;7
20220606 020000;12632;12634.5;12632;12634.5;8
20220606 020200;12627.25;12627.25;12627.25;12627.25;1
20220606 020300;12632;12632;12632;12632;1
20220606 020500;12628.75;12628.75;12628.75;12628.75;1
20220606 020800;12634.5;12634.5;12634.5;12634.5;2
20220606 020900;12632.25;12633.25;12632.25;12633.25;2
20220606 021000;12638;12639.25;12635;12635;10
20220606 021100;12636.75;12636.75;12635.75;12635.75;2
20220606 021200;12635;12635;12635;12635;1
20220606 021300;12635.5;12636;12635.5;12636;3
20220606 021800;12635;12635;12635;12635;1
20220606 022000;12629.25;12633.5;12629.25;12633.5;2
20220606 022200;12639.75;12639.75;12637.25;12637.25;2
20220606 022400;12633.25;12635.5;12633.25;12635.5;2
20220606 022500;12633.25;12634.75;12633;12633;3
20220606 022600;12634.25;12634.25;12634.25;12634.25;1
20220606 023200;12636.5;12639;12636.5;12636.75;6
20220606 023300;12635.25;12636.5;12635.25;12636.5;2
20220606 023500;12639;12639;12639;12639;1
20220606 023600;12639;12639;12639;12639;1
20220606 023700;12639;12642;12639;12642;6
20220606 023800;12642.25;12646;12642.25;12644.25;8
20220606 024100;12648.25;12648.25;12648.25;12648.25;6
20220606 024200;12648.25;12648.25;12648.25;12648.25;3
20220606 024300;12649;12649;12647.25;12647.25;5
20220606 024400;12649.75;12650;12649.75;12650;5
20220606 024600;12650;12650;12650;12650;2
20220606 024700;12652.5;12652.5;12652.25;12652.25;4
20220606 024800;12652.5;12655;12652.5;12655;2
20220606 024900;12656.75;12656.75;12656.75;12656.75;1
20220606 025000;12652.25;12658.25;12649.25;12658.25;8
20220606 025200;12651.5;12661;12651.5;12658;14
20220606 025500;12657;12658;12657;12658;2
20220606 025600;12656.5;12656.5;12656.5;12656.5;1
20220606 025700;12657.75;12658;12656;12657.25;7
20220606 030000;12660.25;12665;12660.25;12663.5;7
20220606 030200;12661.5;12662.25;12661.5;12662.25;2
20220606 030300;12660;12660;12657.5;12657.5;6
20220606 030500;12658.25;12659.75;12656;12659.75;4
20220606 030700;12659.25;12664;12659.25;12663.25;27
20220606 030800;12662;12666;12662;12666;5
20220606 030900;12667;12667.5;12667;12667.5;2
20220606 031200;12663.25;12663.25;12661.25;12661.25;2
20220606 031300;12660;12660.75;12660;12660.75;3
20220606 031400;12661.75;12661.75;12661.75;12661.75;1
20220606 031700;12669;12669;12666.5;12666.5;6
20220606 031800;12665.25;12665.25;12665.25;12665.25;1
20220606 031900;12665.25;12665.25;12665.25;12665.25;1
20220606 032000;12663.75;12663.75;12663.75;12663.75;1
20220606 032200;12661.75;12663.75;12661.75;12663.75;4
20220606 032500;12666;12666;12666;12666;1
20220606 032700;12660.5;12660.5;12660.5;12660.5;1
20220606 032800;12660.25;12663.75;12659;12662.5;13
20220606 033100;12657.5;12659.5;12657.5;12659.5;2
20220606 033200;12662.5;12662.5;12662.5;12662.5;1
20220606 033300;12665.75;12665.75;12665.75;12665.75;1
20220606 033400;12664.5;12664.5;12664.5;12664.5;1
20220606 033900;12668.75;12668.75;12665;12665;4
20220606 034000;12662.25;12662.25;12662.25;12662.25;1
20220606 034100;12664.25;12664.25;12664.25;12664.25;1
20220606 034300;12666.25;12666.25;12666.25;12666.25;1
20220606 034400;12667.5;12668;12667.5;12668;2
20220606 034800;12668.75;12668.75;12668.75;12668.75;5
20220606 034900;12668.75;12668.75;12668.75;12668.75;1
20220606 035000;12670;12671;12670;12671;7
20220606 035500;12668;12668;12668;12668;1
20220606 035600;12670.25;12670.25;12665.25;12665.25;4
20220606 035700;12667.5;12667.5;12667.5;12667.5;1
20220606 035800;12665;12665;12665;12665;1
20220606 040000;12660.5;12660.5;12660.5;12660.5;1
20220606 040100;12661.25;12661.25;12661.25;12661.25;1
20220606 040200;12659.5;12659.5;12657.5;12657.5;2
20220606 040300;12657.75;12658;12656;12656;3
20220606 040600;12660;12660;12660;12660;1
